"ID","CAT","COMPANY_NAME","EMAIL","ADDRESS","CITY","STATE","ZIPCODE","PHONE_NUMBER","FAX_NUMBER","SIC_CODE","SIC_DESCRIPTION","WEB_ADDRESS"
"230001","M","Medical-ID.com","bcourt@aol.com","115 Cooper Dr","VAILS GATE","NY","12584","null","null","594409","Jewelers","DIABETES-MEDICAL-ALERT-JEWELRY.COM^^MEDICAL-ALERT.ORG^^MEDICAL-BRACELETS.COM^^MEDICAL-ID-SERVICES.CO"
"230002","W","WEINBERG; KEITH","keith@groupdigital.com","272 BLEECKER ST APT 51","NEW YORK","NY","10013","null","null","6531","Real Estate","GROUPDIGITAL.COM^^GROUPDIGITAL.NET^^LASERFIGHT.COM^^LASERFIGHT.NET^^WEINBERGFOUNDATION.COM^^WEINBERG"
"230003","M","Maccio Physical Therapy","Maccio@macciophysicaltherapy.com","1 New Hampshire Ave","Troy","NY","12180-1754","5182730701","5182732121","804918","Physical Therapists","NULL"
"230004","P","Prudential Douglas Elliman Re","thomas.uhlinger@prudentialelliman.com","10200 Main Rd / Po Box 1410","Mattituck","NY","11952","63129880000","-","653118","Real Estate","NAMB"
"230005","F","Fragomen Del Rey Bernsen & Low","sanfranciscoinfo@fragomen.com","515 Madison Ave # 15","New York","NY","10022-5493","9494400119","2126888555","811103","Attorneys","www.fragomen.com"
"230006","R","Rite Aid Pharmacy","inquiry@riteaid.com","2172 Penfield Rd","Penfield","NY","14526-1736","5862868946","5853889410","549901","Health & Diet Foods-Retail","www.riteaid.com"
"230007","T","THEPETRIEMETHOD","leader1@optonline.net","700 SHORE RD","LOCUST VALLEY","NY","11560","5166761434","null","737505","Online Services","leaderlocustvalley.com"
"230008","I","Irvine Realty Group; Inc","pirvine955@aol.com","225 East 48th Street","NEW YORK","NY","10016","2127547100","null","6531","Real Estate","IRVINEGROUP.COM"
"230009","w","www.LodgeMart.com","hayrides@optonline.net","100-H EAST JEFRYN BLVD","CORAM","NY","11727","6317366633","null","731908","Distribution Services","null"
"230010","F","Family Treasures","R.T@familytreasures.com","PO Box 61","North Norwich","NY","13814-0061","NULL","6073362806","599949","Coin Dealers Supplies & Etc","NULL"
"230011","S","Sunray Systems; Inc.","sunrayserv@msn.com","99 Marcus Blvd.","HAUPPAUGE","NY","11788","null","null","8999","Services NEC","sunrayservices.com"
"230012","m","mdm audio","tammiewu@aol.com","2318 Hughes Avenue","BRONX","NY","10458","7183210973","null","506503","Recording Studio Eqpt","GLOVEDIRECT.COM;GLOVEWAREHOUSE.COM;HEALTHALARM.COM;HEALTHALARM.NET;HEALTHALARM.ORG;HEALTHALARMS.COM;"
"230013","T","TYLOR","jhon_smith71@hotmail.com","123 My Street","SCHENECTADY","NY","12345","2758375645","null","737904","Computers","QWERTONLINE.COM"
"230014","P","Point Of Woods Homes","C_R@pointofwoods.com","527 Townline Rd # 301","Hauppauge","NY","11788-2833","6313660556","6313660880","152103","General Contractors","NULL"
"230015","A","Ananda Wellness Ctr & Boutique","MBuffo@anandayogacenter.com","20 Hampton Rd","Southampton","NY","11968-4959","NULL","6312041219","809921","Wellness Programs","NULL"
"230016","F","Fiducial Inc","press@telephonedoctor.com","1370 Ave Of The Americas # 31","New York","NY","10019-4602","2122074655","2122074700","872101","Accountants","www.centurysmallbiz.com"
"230017","P","Primavera Realty Group Inc","catcrilly@hotmail.com","312 E Main St","Patchogue","NY","11772","6317585757","null","6531","Real Estate","null"
"230018","P","Prudential Rand Realty","harley@warwick.net","453 Route 211 E Ste 307","Middletown","NY","10940-2206","8453441150","null","6531","Real Estate","null"
"230019","P","Prudential Rand Realty","lrl216@frontiernet.net","2 Corporate Dr - #201","Central Valley","NY","10917","8459289691","null","6531","Real Estate","null"
"230020","M","Matrix Communications Group","webmaster@matrixcommunications.com","10 Vantage Point Dr # 6","Rochester","NY","14624-1177","5184549057","5853529777","599904","Telephone Equipment & Supplies","www.matrixcommunications.com"
